Topic	Difficulty	Source2020S	Source2020W	CompletedBy	QuestionType	Instructions_latex	Data1_latex	Data2_latex	Image1	Image1Caption	Image2	Image2Caption	ImageArrangement	Notes	Omit?	Instructor_comments
Other (pre-midterm)	easy	Quiz 1, Question 7	Quiz 1, Question 7	2020-09-15		Is this sentence prescriptive or descriptive? Explain why.	People speaking standard North American English use <doesn't> with the pronoun <he>, as in ``He doesn't seem concerned today.''									
Other (pre-midterm)	easy	Quiz 1, Question 7	Quiz 1, Question 7	2020-09-15		Is this sentence prescriptive or descriptive? Explain why.	People who say <ain't> may suffer some negative social consequences, because many speakers of English associate <ain't> with a lack of education.									
Other (pre-midterm)	easy	Quiz 1, Question 7	Quiz 1, Question 7	2020-09-15		Is this sentence prescriptive or descriptive? Explain why.	In casual styles of speaking, English speakers frequently end sentences with prepositions, but ending sentences with prepositions is avoided in formal styles.									
Other (pre-midterm)	easy	Quiz 1, Question 7	Quiz 1, Question 7	2020-09-15		Is this sentence prescriptive or descriptive? Explain why.	Saying ``Between you and me'' is correct; saying ``Between you and I'' is ungrammatical.									
		n/a	Week 2 Handout, Part I, Question 1	2020-09-18		Is this question about phonetics or phonology, and why?	What do you think the difference is between vowels and consonants?									
		n/a	Week 2 Handout, Part I, Question 2	2020-09-18		Is this question about phonetics or phonology, and why?	How many syllables does the word <eon> have? How many vowels does it have? Try saying it over and over as fast as you can: eon – eon – eon – eon – eon... Does it still have the same number of syllables? the same number of vowels?									
		n/a	Week 2 Handout, Part I, Question 3	2020-09-18		Is this question about phonetics or phonology, and why?	Consider the name <Santiago>, and a common nickname for this name, <Tiago>. How many syllables are there in <Tiago>? What sound does this name start with? What happens if you say <Tiago> over and over as fast as you can? Do your answers to either of the above questions change?									
		n/a	Week 2 Handout, Part I, Question 4	2020-09-18	signlanguage	Is this question about phonetics or phonology, and why?	Consider the following two signs from two different sign languages (British Sign Language first and American Sign Language second). The arrows in the one on the left indicate that the signer’s hands move up and down. For the sign on the right, the signer gently hits her hip first (as indicated by the fainter tracing of this position) and then snaps the fingers on her hand. Both signs mean the same thing. What do you think they mean? Here are some choices: \begin{itemize} \item WALK \item LEGS \item DOG \item FINGERS \item RHYTHM \end{itemize}		bsl_dog.png		asl_dog.png					
		n/a	Week 2 Handout, Part I, Question 5	2020-09-18		Is this question about phonetics or phonology, and why?	Try producing an [s] for a long time ([sssssssssssssss]). How long can you let it out? What do you have to do physically to make it last longer?									
		n/a	Week 2 Handout, Part I, Question 6	2020-09-18		Is this question about phonetics or phonology, and why?	How would you describe the differences between an [s] and an [f]? what about between [s] and [t]? or between [s] and [z]? Think about how they sound, how it feels to produce them, how they look when you see other people producing them, etc.									
