Person	Topic	Difficulty	Source	Question_latex	Image1	Image1Caption	Image2	Image2Caption
48772	Skewed Distributions	medium	Week 5 Handout, Question 5	How would you look for co-occurrence restrictions between [s] and the vowels that come after it in this dataset?\\~\\\begin{figure}[H] \includegraphics{../images/ukrainian.png} \end{figure}~\\	ukrainian.png			
48772	Transcription	hard	Week 2 Handout, Part II	Is this a reasonable transcription of this word? Explain why.\\~\\<paid>: {[peid]}~\\ 				
83639	Phonological Features	hard	Week 4 Discussion	Explain why phonological features are used instead of phonetic characteristics in analyzing datasets.\\~\\ 				
83639	Transcription	medium	Week 2 Handout, Part II, Question 11	How would this word be transcribed?\\ Kathleen will likely ask a follow-up question about why you used a particular symbol.\\~\\<little>~\\ 				
74431	Other (pre-midterm)	medium	Week 4 Handout, Part II, Question 3	Explain how you would figure out what the Luiseño form is for the morpheme whose meaning is given below. (To be clear: you do NOT need to give me the form itself -- just explain the process of figuring it out.)\\~\\‘make / cause’~\\\begin{figure}[H] \includegraphics{../images/luiseno.png} \end{figure}~\\	luiseno.png			
74431	Skewed Distributions	hard	Week 5 Handout, Question 6	If I gave you a new word in Malto, [di\_\_u], would it be possible to predict whether it's [d] or [ɖ] that goes in the blank? Explain why or why not.\\~\\ 				
68935	Phonological Features	medium	Week 4 Discussion	Explain what the given feature’s value is for this class of sounds, and why.\\~\\{[continuant]}~\\glottals~\\ 				
68935	Articulatory Phonetics	hard	Week 3 Handout, Question 3	Explain why the additional vowel below either does or does not belong in the phonetic natural class defined by the original set of SNAE vowels.\\~\\Original set: {[æ]}, {[ɑ]}~\\Addition: {[ɑʊ]}~\\ 				
92054	Phonological Features	hard	Quiz 3, Question 12	Explain how you figure out which feature is involved in the process of umlaut.\\~\\\begin{figure}[H] \includegraphics{../images/dutch.png} \end{figure}~\\	dutch.png			
92054	Transcription	medium	Week 2 Handout, Part II, Question 11	How would this word be transcribed?\\ Kathleen will likely ask a follow-up question about why you used a particular symbol.\\~\\<vacuum>~\\ 				
68058	Transcription	medium	Week 2 Handout, Part II, Question 11	How would this word be transcribed?\\ Kathleen will likely ask a follow-up question about why you used a particular symbol.\\~\\<vacuum>~\\ 				
68058	Phonological Features	hard	Quiz 3, Question 12	Explain how you figure out which feature is involved in the process of umlaut.\\~\\\begin{figure}[H] \includegraphics{../images/dutch.png} \end{figure}~\\	dutch.png			
