Person	Topic	Difficulty	Source	Question_latex	Image1	Image1Caption	Image2	Image2Caption
39207	Articulatory Phonetics	hard	Day 2 Handout, Part II, Question 3	Explain why the additional vowel below either does or does not belong in the phonetic natural class defined by the original set of SNAE vowels.\\~\\Original set: {[u]}, {[ʊ]}, {[oʊ]}, {[ɔ]}~\\Addition: {[ɑʊ]}~\\ 				
39207	Phonological Relationships and Analysis	medium	Quiz 4, Question 5	What phonological relationship(s) does this example show among the sounds [m], [n], and [ŋ], and why?\\~\\\begin{figure}[H] \includegraphics{../images/quiz4question5_c.png} \end{figure}~\\	quiz4question5_c.png			
67575	Skewed Distributions	medium	Day 4 Handout, Question 3	What evidence is there that there is a pattern in these data, assuming that these are the only CV and VC sequences that occur in some language?\\~\\{[sa]}, {[ʃi]}, {[za]}, {[ʒi]}, {[as]}, {[iʃ]}, {[az]}, {[iʒ]}~\\ 				
67575	Other (pre-midterm)	hard	Day 3 Handout, Question 5	Explain what we mean by saying that linguistic patterns are \underline{productive}.\\~\\ 				
17487	Phonological Relationships and Analysis	hard	Day 6 Handout, Question 1	Explain why it is possible to predict whether a plain or aspirated voiceless stop will occur in a new context (in English), but not to predict the place of articulation of a voiceless stop in a new context.\\~\\\begin{figure}[H] \includegraphics{../images/aspiration.png} \end{figure}~\\	aspiration.png			
17487	Other (pre-midterm)	medium	Homework 2, Question 1	What would this Klingon phrase below be in English? How do you know?\\~\\{[vɑdʒqʰoqʰvɑm]}~\\\begin{figure}[H] \includegraphics{../images/klingon.png} \end{figure}~\\	klingon.png			
67444	Phonological Relationships and Analysis	hard	Day 6 Handout, Question 1	Would you expect [ʔ] to follow the same pattern of occurring as plain or aspirated as is followed by [p] and [t] and [k]? Explain why or why not.\\~\\\begin{figure}[H] \includegraphics{../images/aspiration.png} \end{figure}~\\	aspiration.png			
67444	Other (pre-midterm)	medium	Day 1 Handout, Part II, Question 12	Is this question about phonetics or phonology, and why? (To be clear: you do NOT need to answer the question itself -- just tell me whether it's a question about phonetics or phonology.)\\~\\Consider the following two words from American Sign Language. The first one means LUCKY, while the second means SMART. How would you describe the difference between the ``pronunciation'' (articulation) of these two words? Note that in each case, the image to the left is the starting position of the sign, while the one to the right is the ending position.~\\\begin{figure}[H] \includegraphics{../images/asl_lucky.png} \end{figure} \begin{figure}[H] \includegraphics{../images/asl_smart.png} \end{figure}~\\	asl_lucky.png		asl_smart.png	
23071	Skewed Distributions	hard	Day 4 Handout, Question 7	Explain how you would go about looking for co-occurrence restrictions in bi-syllabic signs in ASL. (Refer to the data that follows.)\\~\\\begin{figure}[H] \includegraphics{../images/ASL_movement.png} \end{figure}~\\	ASL_movement.png			
23071	Phonological Relationships and Analysis	medium	Quiz 4, Question 5	What phonological relationship(s) does this example show among the sounds [m], [n], and [ŋ], and why?\\~\\\begin{figure}[H] \includegraphics{../images/quiz4question5_c.png} \end{figure}~\\	quiz4question5_c.png			
85086	Other (pre-midterm)	hard	Day 3 Handout, Question 5	Explain what we mean by saying that linguistic patterns are \underline{productive}.\\~\\ 				
85086	Transcription	medium	Day 2 Handout, Part I, Question 11	How would this word be transcribed?\\ Explain how you chose the symbol(s) you used for the second syllable sound in this word.\\~\\<finger>~\\ 				
