Person	Topic	Difficulty	Source	Question_latex	Image1	Image1Caption	Image2	Image2Caption
80652	Transcription	medium	Week 2 Handout, Part II, Question 11	How would this word be transcribed?\\ Kathleen will likely ask a follow-up question about why you used a particular symbol.\\~\\<cough>~\\ 				
80652	Articulatory Phonetics	hard	Week 3 Handout, Question 3	Explain why the additional vowel below either does or does not belong in the phonetic natural class defined by the original set of SNAE vowels.\\~\\Original set: {[u]}, {[ʊ]}, {[oʊ]}, {[ɔ]}~\\Addition: {[ɔɪ]}~\\ 				
81020	Transcription	medium	Week 2 Handout, Part II, Question 11	How would this word be transcribed?\\ Kathleen will likely ask a follow-up question about why you used a particular symbol.\\~\\<square>~\\ 				
81020	Articulatory Phonetics	hard	Week 3 Handout, Question 3	Explain why the additional vowel below either does or does not belong in the phonetic natural class defined by the original set of SNAE vowels.\\~\\Original set: {[æ]}, {[ɑ]}~\\Addition: {[ɑɪ]}~\\ 				
60523	Other (pre-midterm)	medium	Week 2 Handout, Part I, Question 7	Is this question about phonetics or phonology, and why? (To be clear: you do NOT need to answer the question itself -- just tell me whether it's a question about phonetics or phonology.)\\~\\How would you describe the difference between the vowel in the word <heat> and the vowel in the word <hat>?~\\ 				
60523	Articulatory Phonetics	hard	Week 2 Discussion	Explain why it's possible to say that signed languages have articulatory phonetics.\\~\\ 				
11196	Other (pre-midterm)	medium	Week 2 Handout, Part I, Question 12	Is this question about phonetics or phonology, and why? (To be clear: you do NOT need to answer the question itself -- just tell me whether it's a question about phonetics or phonology.)\\~\\What’s the difference in sound between the words <but> and <cut> in English? Is that the same difference as between <bit> and <kit>? Why or why not?~\\ 				
11196	Transcription	hard	Week 2 Handout, Part II	Is this a reasonable transcription of this word? Explain why.\\~\\<mine>: {[mɑɪn]}~\\ 				
30263	Articulatory Phonetics	medium	Week 3 Handout, Question 9	Explain how to figure out what the sound being produced is in this diagram.\\~\\\begin{figure}[H] \includegraphics{../images/sagittal_p.png} \end{figure}~\\	sagittal_p.png			
30263	Transcription	hard	Week 2 Handout, Part II	Is this a reasonable transcription of this word? Explain why.\\~\\<choose>: {[t͡ʃuz]}~\\ 				
39945	Articulatory Phonetics	medium	Week 3 Discussion	Assuming a Standard North American English inventory, does this vowel need to have tenseness specified if you're giving a prose description? Why or why not?\\~\\{[ɛ]}~\\ 				
39945	Transcription	hard	Week 2 Handout, Part II	Is this a reasonable transcription of this word? Explain why.\\~\\<mouse>: {[mɔɪs]}~\\ 				
