Person	Topic	Difficulty	Source	Question_latex	Image1	Image1Caption	Image2	Image2Caption
44746	Articulatory Phonetics	hard	Week 3 Handout, Question 3	Explain why the additional vowel below either does or does not belong in the phonetic natural class defined by the original set of SNAE vowels.\\~\\Original set: {[u]}, {[ʊ]}, {[oʊ]}, {[ɔ]}~\\Addition: {[ɑʊ]}~\\ 				
44746	Phonological Features	medium	Week 4 Discussion	Explain what the given feature’s value is for this class of sounds, and why.\\~\\{[approximant]}~\\nasals~\\ 				
74752	Skewed Distributions	hard	Week 5 Handout, Question 6	If I gave you a new word in Malto, [di\_\_u], would it be possible to predict whether it's [d] or [ɖ] that goes in the blank? Explain why or why not.\\~\\\begin{figure}[H] \includegraphics{../images/malto.png} \end{figure}~\\	malto.png			
74752	Phonological Features	medium	Week 4 Discussion	Explain what the given feature’s value is for this class of sounds, and why.\\~\\{[consonantal]}~\\glides~\\ 				
94263	Other (pre-midterm)	medium	Week 4 Handout, Part II, Question 3	Explain how you would figure out what the Luiseño form is for the morpheme whose meaning is given below. (To be clear: you do NOT need to give me the form itself -- just explain the process of figuring it out.)\\~\\‘Future’~\\\begin{figure}[H] \includegraphics{../images/luiseno.png} \end{figure}~\\	luiseno.png			
94263	Skewed Distributions	hard	Week 5 Handout, Question 7	Explain how you would go about looking for co-occurrence restrictions in bi-syllabic signs in ASL. (Refer to the data that follows.)\\~\\\begin{figure}[H] \includegraphics{../images/ASL_movement.png} \end{figure}~\\	ASL_movement.png			
70875	Other (pre-midterm)	medium	Week 4 Handout, Part II, Question 3	Explain how you would figure out what the Luiseño form is for the morpheme whose meaning is given below. (To be clear: you do NOT need to give me the form itself -- just explain the process of figuring it out.)\\~\\‘walk’~\\\begin{figure}[H] \includegraphics{../images/luiseno.png} \end{figure}~\\	luiseno.png			
70875	Articulatory Phonetics	hard	Homework 1, Question 3(a)	Could this image be the result of producing the sound represented by the given IPA symbol? Why or why not?\\~\\{[t͡ʃ]}~\\\begin{figure}[H] \includegraphics{../images/staticpalatography_stop.png} \end{figure}~\\	staticpalatography_stop.png			
12377	Other (pre-midterm)	medium	Homework 2, Question 2	What would this Klingon phrase below be in English? How do you know?\\~\\{[vɑdʒqʰoqʰvɑm]}~\\\begin{figure}[H] \includegraphics{../images/klingon.png} \end{figure}~\\	klingon.png			
12377	Skewed Distributions	hard	Week 5 Handout, Question 5	Explain why looking for patterns with consonants and vowels is a more reasonable approach to pattern finding in this dataset than looking for patterns with respect to all of the individual sounds in Ukrainian.\\~\\\begin{figure}[H] \includegraphics{../images/ukrainian.png} \end{figure}~\\	ukrainian.png			
36593	Skewed Distributions	medium	Quiz 4, Question 2	L$_X$ (Language X) has three vowels, [i], [a], and [u]. L$_X$ has tri-syllabic roots. If L$_X$ does not allow non-identical high vowels to co-occur, which one of the following tri-syllabic vocalic sequences do you predict to be unattested in L$_X$? Explain why.\\~\\\begin{itemize} \item {[u...i...a]} \item {[a...i...a]} \item {[u...u...a]} \item {[a...i...i]} \end{itemize}~\\ 				
36593	Articulatory Phonetics	hard	Week 3 Handout, Question 3	Explain why the additional vowel below either does or does not belong in the phonetic natural class defined by the original set of SNAE vowels.\\~\\Original set: {[u]}, {[ʊ]}, {[oʊ]}, {[ɔ]}~\\Addition: {[ɔɪ]}~\\ 				
