Day	Time (Vancouver Time)	FIRST four digits of student ID number	
"Monday, 22 June 2020"	2:00 - 2:20 PM		
"Monday, 22 June 2020"	2:20 - 2:40 PM	4066	
"Monday, 22 June 2020"	2:40 - 3:00 PM	9246	
"Monday, 22 June 2020"	3:00 - 3:20 PM	4090	
"Monday, 22 June 2020"	3:20 - 3:40 PM	1956	
"Monday, 22 June 2020"	3:40 - 4:00 PM	3737	
"Monday, 22 June 2020"	4:00 - 4:20 PM	4465	
"Monday, 22 June 2020"	4:20 - 4:40 PM	9376	
"Monday, 22 June 2020"	4:40 - 5:00 PM		
"Monday, 22 June 2020"	5:00 - 5:20 PM	3347	
"Monday, 22 June 2020"	5:20 - 5:40 PM	3420	
"Tuesday, 23 June 2020"	9:30 - 9:50 AM	6745	
"Tuesday, 23 June 2020"	9:50 - 10:10 AM	6427	
"Tuesday, 23 June 2020"	10:10 - 10:30 AM	3773	
"Tuesday, 23 June 2020"	10:30 - 10:50 AM	9303	
"Tuesday, 23 June 2020"	10:50 - 11:10 AM	5824	
"Tuesday, 23 June 2020"	11:10 - 11:30 AM	5540	
"Tuesday, 23 June 2020"	11:30 - 11:50 AM	1887	
"Tuesday, 23 June 2020"	11:50 AM - 12:10 PM	4199	
"Tuesday, 23 June 2020"	12:10 - 12:30 PM	1794	
"Tuesday, 23 June 2020"	12:30 - 12:50 PM	4656	
"Tuesday, 23 June 2020"	12:50 - 1:10 PM	8079	
"Wednesday, 24 June 2020"	9:30 - 9:50 AM	3684	
"Wednesday, 24 June 2020"	9:50 - 10:10 AM	7336	
"Wednesday, 24 June 2020"	10:10 - 10:30 AM	3514	
"Wednesday, 24 June 2020"	10:30 - 10:50 AM	3129	
"Wednesday, 24 June 2020"	10:50 - 11:10 AM	3288	
"Wednesday, 24 June 2020"	11:10 - 11:30 AM	9450	
"Wednesday, 24 June 2020"	11:30 - 11:50 AM	2357	
"Wednesday, 24 June 2020"	11:50 AM - 12:10 PM	1715	
"Wednesday, 24 June 2020"	12:10 - 12:30 PM	2014	
"Wednesday, 24 June 2020"	12:30 - 12:50 PM	4220	
"Wednesday, 24 June 2020"	12:50 - 1:10 PM	7661	
"Wednesday, 24 June 2020"	2:00 - 2:20 PM	8742	
"Wednesday, 24 June 2020"	2:20 - 2:40 PM	6948	
