Topic	Difficulty	Source	QuestionType	Instructions_latex	Data1_latex	Data2_latex	Image1	Image1Caption	Image2	Image2Caption	ImageArrangement	Notes	Omit?	Instructor_comments
Other	easy	Quiz 1, Question 7		Is this sentence prescriptive or descriptive? Explain why.	People speaking standard North American English use <doesn't> with the pronoun <he>, as in ``He doesn't seem concerned today.''									
Other	easy	Quiz 1, Question 7		Is this sentence prescriptive or descriptive? Explain why.	People who say <ain't> may suffer some negative social consequences, because many speakers of English associate <ain't> with a lack of education.									
Other	easy	Quiz 1, Question 7		Is this sentence prescriptive or descriptive? Explain why.	In casual styles of speaking, English speakers frequently end sentences with prepositions, but ending sentences with prepositions is avoided in formal styles.									
Other	easy	Quiz 1, Question 7		Is this sentence prescriptive or descriptive? Explain why.	Saying ``Between you and me'' is correct; saying ``Between you and I'' is ungrammatical.									
Articulatory Phonetics	hard	Day 2 Discussion	signlanguage	Explain why it's possible to say that signed languages have articulatory phonetics.										
Transcription	easy	Day 2 Handout, Part I, Question 2		Explain why people might legitimately disagree about how many sounds this particular word contains.	<how>									
Transcription	easy	Day 2 Handout, Part I, Question 2		Explain why people might legitimately disagree about how many sounds this particular word contains.	<tiny>									
Transcription	easy	Day 2 Handout, Part I, Question 2		Explain why people might legitimately disagree about how many sounds this particular word contains.	<goat>									
Transcription	easy	Day 2 Handout, Part I, Question 2		Explain why people might legitimately disagree about how many sounds this particular word contains.	<those>									
Transcription	easy	Day 2 Handout, Part I, Question 2		Explain why people might legitimately disagree about how many sounds this particular word contains.	<flowers>									
Transcription	easy	Day 2 Handout, Part I, Question 2		Explain why people might legitimately disagree about how many sounds this particular word contains.	<girls>									
Transcription	easy	Day 2 Handout, Part I, Question 2		Explain why people might legitimately disagree about how many sounds this particular word contains.	<find>									
Transcription	easy	Day 2 Handout, Part I, Question 2		Explain why people might legitimately disagree about how many sounds this particular word contains.	<they>									
Transcription	easy	Day 2 Handout, Part I, Question 3		Explain why people might legitimately disagree about how many sounds this particular word contains.	<soap>									
Transcription	easy	Day 2 Handout, Part I, Question 3		Explain why people might legitimately disagree about how many sounds this particular word contains.	<curtain>									
Transcription	easy	Day 2 Handout, Part I, Question 3		Explain why people might legitimately disagree about how many sounds this particular word contains.	<better>									
Transcription	easy	Day 2 Handout, Part I, Question 3		Explain why people might legitimately disagree about how many sounds this particular word contains.	<worse>									
Transcription	easy	Day 2 Handout, Part I, Question 3		Explain why people might legitimately disagree about how many sounds this particular word contains.	<burger>									
Transcription	easy	Day 2 Handout, Part I, Question 3		Explain why people might legitimately disagree about how many sounds this particular word contains.	<rice>									
Transcription	medium	Day 2 Handout, Part I, Question 11		How would this word be transcribed?\\ Follow-up question: Why did you use symbol [X] instead of symbol [Y]?	<hit>							too easy	omit	[hɪt]
Transcription	medium	Day 2 Handout, Part I, Question 11		How would this word be transcribed?\\ Follow-up question: Why did you use symbol [X] instead of symbol [Y]?	<nice>									[nɑɪs]
Transcription	medium	Day 2 Handout, Part I, Question 11		How would this word be transcribed?\\ Follow-up question: Why did you use symbol [X] instead of symbol [Y]?	<frog>									[fɹɑɡ]
Transcription	medium	Day 2 Handout, Part I, Question 11		How would this word be transcribed?\\ Follow-up question: Why did you use symbol [X] instead of symbol [Y]?	<cough>									[kɑf]
Transcription	medium	Day 2 Handout, Part I, Question 11		How would this word be transcribed?\\ Follow-up question: Why did you use symbol [X] instead of symbol [Y]?	<juice>									[dʒus]
Transcription	medium	Day 2 Handout, Part I, Question 11		How would this word be transcribed?\\ Follow-up question: Why did you use symbol [X] instead of symbol [Y]?	<wealth>									[wɛlθ]
Transcription	medium	Day 2 Handout, Part I, Question 11		How would this word be transcribed?\\ Follow-up question: Why did you use symbol [X] instead of symbol [Y]?	<beach>							transcription too similar to 'bitch'	omit	[bitʃ]
Transcription	medium	Day 2 Handout, Part I, Question 11		How would this word be transcribed?\\ Follow-up question: Why did you use symbol [X] instead of symbol [Y]?	<toy>									[tɔɪ]
Transcription	medium	Day 2 Handout, Part I, Question 11		How would this word be transcribed?\\ Follow-up question: Why did you use symbol [X] instead of symbol [Y]?	<finger>									[fɪŋɡɹ̩]
Transcription	medium	Day 2 Handout, Part I, Question 11		How would this word be transcribed?\\ Follow-up question: Why did you use symbol [X] instead of symbol [Y]?	<little>									[lɪɾl̩]
Transcription	medium	Day 2 Handout, Part I, Question 11		How would this word be transcribed?\\ Follow-up question: Why did you use symbol [X] instead of symbol [Y]?	<vacuum>									[vækjum]
Transcription	medium	Day 2 Handout, Part I, Question 11		How would this word be transcribed?\\ Follow-up question: Why did you use symbol [X] instead of symbol [Y]?	<bird>									[bɹ̩d]
Transcription	medium	Day 2 Handout, Part I, Question 11		How would this word be transcribed?\\ Follow-up question: Why did you use symbol [X] instead of symbol [Y]?	<segment>									[sɛɡmɛnt]
Transcription	medium	Day 2 Handout, Part I, Question 11		How would this word be transcribed?\\ Follow-up question: Why did you use symbol [X] instead of symbol [Y]?	<square>									[skweɪɹ]
Transcription	medium	Day 2 Handout, Part I, Question 11		How would this word be transcribed?\\ Follow-up question: Why did you use symbol [X] instead of symbol [Y]?	<puny>							in published sample exam LING200MT_sampleexam1.pdf	omit	[pjuni]
Transcription	medium	Day 2 Handout, Part I, Question 11		How would this word be transcribed?\\ Follow-up question: Why did you use symbol [X] instead of symbol [Y]?	<goat>									[ɡoʊt]
Transcription	hard	Day 2 Handout		Is this a reasonable transcription of this word? Explain why.	<mouse>: [mɔɪs]									no, [ɑʊ]
Transcription	hard	Day 2 Handout		Is this a reasonable transcription of this word? Explain why.	<loud>: [lɑud]									okay, but [ɑʊ]
Transcription	hard	Day 2 Handout		Is this a reasonable transcription of this word? Explain why.	<philosophy>: [fəlɑsəfi]									yes
Transcription	hard	Day 2 Handout		Is this a reasonable transcription of this word? Explain why.	<choose>: [t͡ʃuz]									yes
Transcription	hard	Day 2 Handout		Is this a reasonable transcription of this word? Explain why.	<wimp>: [wimp]									no, [ɪ]
Transcription	hard	Day 2 Handout		Is this a reasonable transcription of this word? Explain why.	<paid>: [peid]									okay, but [eɪ]
Transcription	hard	Day 2 Handout		Is this a reasonable transcription of this word? Explain why.	<climb>: [klɑɪm]									yes
Transcription	hard	Day 2 Handout		Is this a reasonable transcription of this word? Explain why.	<shows>: [ʃoʊs]									no, [z]
Transcription	hard	Day 2 Handout		Is this a reasonable transcription of this word? Explain why.	<mine>: [mɑɪn]									yes
Transcription	hard	Day 2 Handout		Is this a reasonable transcription of this word? Explain why.	<health>: [hɛlð]									no, [θ]
Articulatory Phonetics	medium	Day 2 Discussion		Assuming a Standard North American English inventory, does this vowel need to have tenseness specified if you're giving a prose description? Why or why not?	[æ]									no
Articulatory Phonetics	medium	Day 2 Discussion		Assuming a Standard North American English inventory, does this vowel need to have tenseness specified if you're giving a prose description? Why or why not?	[ɑ]									no
Articulatory Phonetics	medium	Day 2 Discussion		Assuming a Standard North American English inventory, does this vowel need to have tenseness specified if you're giving a prose description? Why or why not?	[i]									yes
Articulatory Phonetics	medium	Day 2 Discussion		Assuming a Standard North American English inventory, does this vowel need to have tenseness specified if you're giving a prose description? Why or why not?	[u]									yes
Articulatory Phonetics	medium	Day 2 Discussion		Assuming a Standard North American English inventory, does this vowel need to have tenseness specified if you're giving a prose description? Why or why not?	[ɛ]									yes
Articulatory Phonetics	medium	Day 2 Discussion		Assuming a Standard North American English inventory, does this vowel need to have tenseness specified if you're giving a prose description? Why or why not?	[ɔ]									yes
Articulatory Phonetics	medium	Quiz 2, Question 6		In the pronunciation of this word, which sounds are obstruents and which are sonorants?	<sonorant>									[sɔnoɹənt] -- sonorants: [ɔnoɹən] and obstruents: [st]
Articulatory Phonetics	medium	Quiz 2, Question 6		In the pronunciation of this word, which sounds are obstruents and which are sonorants?	<obstruent>									[ɑbstɹuənt] -- sonorants: [ɑɹuən] and obstruents: [bstt]
Articulatory Phonetics	medium	Quiz 2, Question 6		In the pronunciation of this word, which sounds are obstruents and which are sonorants?	<minimal>									[mɪnɪməl] -- sonorants: (all of them)
Articulatory Phonetics	medium	Quiz 2, Question 6		In the pronunciation of this word, which sounds are obstruents and which are sonorants?	<language>									[læŋɡwɪdʒ] -- sonorants: [læŋwɪ] and obstruents: [ɡdʒ]
Articulatory Phonetics	medium	Quiz 2, Question 6		In the pronunciation of this word, which sounds are obstruents and which are sonorants?	<fricative>									[fɹɪkətɪv] -- sonorants: [ɹɪəɪ] and obstruents: [fktv]
Articulatory Phonetics	medium	Quiz 2, Question 7		Why might two of the descriptions given truthfully apply to the sound represented by the underlined letter, and why is one of them actually better than the other?	<a\underline{w}ay>	\begin{itemize} \item prevocalic obstruent \item prevocalic sonorant \item postvocalic obstruent \item postvocalic sonorant \item intervocalic obstruent \item intervocalic sonorant \end{itemize}								prevocalic and *intervocalic* sonorant
Articulatory Phonetics	medium	Quiz 2, Question 7		Why might two of the descriptions given truthfully apply to the sound represented by the underlined letter, and why is one of them actually better than the other?	<o\underline{p}en>	\begin{itemize} \item prevocalic obstruent \item prevocalic sonorant \item postvocalic obstruent \item postvocalic sonorant \item intervocalic obstruent \item intervocalic sonorant \end{itemize}						in published sample exam LING200MT_sampleexam1.pdf	omit	prevocalic and *intervocalic* obstruent
Other	easy	Quiz 2, Question 11	morphology	Does the morpheme ‘eye’ occur in this word? Why or why not?	<Eiffel> (as in Eiffel Tower)									
Other	easy	Quiz 2, Question 11	morphology	Does the morpheme ‘eye’ occur in this word? Why or why not?	<disobeyed>									
Other	easy	Quiz 2, Question 11	morphology	Does the morpheme ‘eye’ occur in this word? Why or why not?	<eyeglasses>									
Other	easy	Quiz 2, Question 11	morphology	Does the morpheme ‘eye’ occur in this word? Why or why not?	<island>									
Other	easy	Quiz 2, Question 11	morphology	Does the morpheme ‘eye’ occur in this word? Why or why not?	<eyes>									
Other	easy	Quiz 2, Question 11	morphology	Does the morpheme ‘eye’ occur in this word? Why or why not?	<eyeful>									
Other	easy	Quiz 2, Question 11	morphology	Does the morpheme ‘eye’ occur in this word? Why or why not?	<spyglass>									
